task_id,seed,memory_id,delta_receiver_1,delta_receiver_2,delta_receiver_3,decision_receiver_1,decision_receiver_2,decision_receiver_3,disagreement_rate,delta_variance,n_receivers_useful
64,2,dbproc-01870edcc464-agent4,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
64,2,dbproc-01870edcc464-agent5,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
68,0,dbproc-01870edcc464-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
68,0,dbproc-06c28b92d681-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
68,1,dbproc-01870edcc464-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
68,1,dbproc-06c28b92d681-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
68,2,dbproc-01870edcc464-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
68,2,dbproc-06c28b92d681-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
69,2,dbproc-01870edcc464-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
69,2,dbproc-01870edcc464-agent2,1.0,1.0,1.0,validated,validated,validated,0.0,0.0,3
69,2,dbproc-01870edcc464-agent4,1.0,0.0,0.0,validated,rejected,rejected,0.6667,0.222222,1
69,2,dbproc-01870edcc464-agent5,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
69,2,dbproc-06c28b92d681-agent1,1.0,1.0,1.0,validated,validated,validated,0.0,0.0,3
70,0,dbproc-01870edcc464-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
70,1,dbproc-01870edcc464-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
70,1,dbproc-01870edcc464-agent3,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
73,1,dbproc-06c28b92d681-agent1,0.0,1.0,1.0,rejected,validated,validated,0.6667,0.222222,2
73,2,dbproc-06c28b92d681-agent1,0.0,1.0,1.0,rejected,validated,validated,0.6667,0.222222,2
75,0,dbproc-01870edcc464-agent5,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
75,1,dbproc-01870edcc464-agent5,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
77,0,dbproc-01870edcc464-agent2,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
77,2,dbproc-01870edcc464-agent2,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
77,2,dbproc-01870edcc464-agent3,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
80,0,dbproc-06c28b92d681-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
80,1,dbproc-06c28b92d681-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
80,2,dbproc-06c28b92d681-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
82,0,dbproc-06c28b92d681-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
82,1,dbproc-06c28b92d681-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
84,0,dbproc-01870edcc464-agent5,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
84,1,dbproc-01870edcc464-agent5,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
85,0,dbproc-01870edcc464-agent2,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
85,0,dbproc-01870edcc464-agent5,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
85,1,dbproc-01870edcc464-agent2,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
85,1,dbproc-01870edcc464-agent5,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
87,0,dbproc-01870edcc464-agent2,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
88,1,dbproc-01870edcc464-agent5,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
88,1,dbproc-06c28b92d681-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
88,2,dbproc-01870edcc464-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
88,2,dbproc-01870edcc464-agent4,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
88,2,dbproc-01870edcc464-agent5,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
88,2,dbproc-06c28b92d681-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
89,1,dbproc-01870edcc464-agent3,0.0,1.0,1.0,rejected,validated,validated,0.6667,0.222222,2
89,1,dbproc-01870edcc464-agent5,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
89,2,dbproc-01870edcc464-agent3,0.0,1.0,1.0,rejected,validated,validated,0.6667,0.222222,2
89,2,dbproc-01870edcc464-agent5,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
9,0,dbproc-01870edcc464-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
9,0,dbproc-01870edcc464-agent3,1.0,0.0,0.0,validated,rejected,rejected,0.6667,0.222222,1
9,0,dbproc-01870edcc464-agent4,1.0,1.0,1.0,validated,validated,validated,0.0,0.0,3
9,0,dbproc-06c28b92d681-agent1,1.0,1.0,1.0,validated,validated,validated,0.0,0.0,3
90,0,dbproc-01870edcc464-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
90,0,dbproc-01870edcc464-agent3,0.0,1.0,1.0,rejected,validated,validated,0.6667,0.222222,2
90,1,dbproc-01870edcc464-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
90,1,dbproc-01870edcc464-agent3,0.0,1.0,1.0,rejected,validated,validated,0.6667,0.222222,2
90,2,dbproc-01870edcc464-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
90,2,dbproc-01870edcc464-agent3,0.0,1.0,1.0,rejected,validated,validated,0.6667,0.222222,2
92,0,dbproc-01870edcc464-agent3,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
92,0,dbproc-06c28b92d681-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
92,1,dbproc-01870edcc464-agent3,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
92,1,dbproc-06c28b92d681-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
92,2,dbproc-01870edcc464-agent3,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
92,2,dbproc-06c28b92d681-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
93,0,dbproc-06c28b92d681-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
93,1,dbproc-06c28b92d681-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
93,2,dbproc-06c28b92d681-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
94,0,dbproc-06c28b92d681-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
94,1,dbproc-06c28b92d681-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
94,2,dbproc-06c28b92d681-agent1,0.0,1.0,0.0,rejected,validated,rejected,0.6667,0.222222,1
95,0,dbproc-01870edcc464-agent4,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
95,1,dbproc-01870edcc464-agent4,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
95,1,dbproc-01870edcc464-agent5,1.0,1.0,0.0,validated,validated,rejected,0.6667,0.222222,2
95,2,dbproc-01870edcc464-agent4,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
95,2,dbproc-01870edcc464-agent5,1.0,1.0,0.0,validated,validated,rejected,0.6667,0.222222,2
97,0,dbproc-06c28b92d681-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
97,1,dbproc-06c28b92d681-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
97,2,dbproc-06c28b92d681-agent1,0.0,0.0,1.0,rejected,rejected,validated,0.6667,0.222222,1
